ContigID,Type,Superkingdom,Realm,Kingdom,Phylum,Class,Order,Family,Isolate
CENOTE_11_20_META12712_fullg,Genome,Viruses,Monodnaviria,Shotokuvirae,Cressdnaviricota,Unclassified family 5,Unclassified family 5,Unclassified family 5,CENOTE_11_20_META12712
CENOTE_11_20_META12885_fullg,Genome,Viruses,Monodnaviria,Shotokuvirae,Cressdnaviricota,,,,CENOTE_11_20_META12885
CENOTE_11_20_META14145_fullg,Genome,Viruses,Monodnaviria,Shotokuvirae,Cressdnaviricota,,,,CENOTE_11_20_META14145
CENOTE_11_20_META14496_fullg,Genome,Viruses,Monodnaviria,Shotokuvirae,Cressdnaviricota,Unclassified family 7,Unclassified family 7,Unclassified family 7,CENOTE_11_20_META14496
CENOTE_11_20_META14577_fullg,Genome,Viruses,Monodnaviria,Shotokuvirae,Cressdnaviricota,,,,CENOTE_11_20_META14577
CENOTE_11_20_META15219_fullg,Genome,Viruses,Monodnaviria,Shotokuvirae,Cressdnaviricota,Repensiviricetes,Geplafuvirales,Genomoviridae,CENOTE_11_20_META15219
CENOTE_11_20_META15687_fullg,Genome,Viruses,Monodnaviria,Shotokuvirae,Cressdnaviricota,Repensiviricetes,Geplafuvirales,Genomoviridae,CENOTE_11_20_META15687
CENOTE_11_20_META16247_fullg,Genome,Viruses,Monodnaviria,Shotokuvirae,Cressdnaviricota,Repensiviricetes,Geplafuvirales,Genomoviridae,CENOTE_11_20_META16247
CENOTE_11_20_META16268_fullg,Genome,Viruses,Monodnaviria,Shotokuvirae,Cressdnaviricota,,,,CENOTE_11_20_META16268
CENOTE_11_20_META16307_fullg,Genome,Viruses,Monodnaviria,Shotokuvirae,Cressdnaviricota,,,,CENOTE_11_20_META16307
CENOTE_11_20_META16355_fullg,Genome,Viruses,Monodnaviria,Shotokuvirae,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,CENOTE_11_20_META16355
CENOTE_11_20_META17430_fullg,Genome,Viruses,Monodnaviria,Shotokuvirae,Cressdnaviricota,,,,CENOTE_11_20_META17430
CENOTE_11_20_META17723_fullg,Genome,Viruses,Monodnaviria,Shotokuvirae,Cressdnaviricota,Repensiviricetes,Geplafuvirales,Genomoviridae,CENOTE_11_20_META17723
CENOTE_11_20_META19041_fullg,Genome,Viruses,Monodnaviria,Shotokuvirae,Cressdnaviricota,Unclassified family 7,Unclassified family 7,Unclassified family 7,CENOTE_11_20_META19041
CENOTE_11_20_META19580_fullg,Genome,Viruses,Monodnaviria,Shotokuvirae,Cressdnaviricota,,,,CENOTE_11_20_META19580
CENOTE_11_20_META20463_fullg,Genome,Viruses,Monodnaviria,Shotokuvirae,Cressdnaviricota,,,,CENOTE_11_20_META20463
CENOTE_11_20_META20513_fullg,Genome,Viruses,Monodnaviria,Shotokuvirae,Cressdnaviricota,,,,CENOTE_11_20_META20513
CENOTE_11_20_META20760_fullg,Genome,Viruses,Monodnaviria,Shotokuvirae,Cressdnaviricota,,,,CENOTE_11_20_META20760
CENOTE_11_20_META22122_fullg,Genome,Viruses,Monodnaviria,Shotokuvirae,Cressdnaviricota,Repensiviricetes,Geplafuvirales,Genomoviridae,CENOTE_11_20_META22122
CENOTE_11_20_META22132_fullg,Genome,Viruses,Monodnaviria,Shotokuvirae,Cressdnaviricota,,,,CENOTE_11_20_META22132
CENOTE_11_20_META22428_fullg,Genome,Viruses,Monodnaviria,Shotokuvirae,Cressdnaviricota,Repensiviricetes,Geplafuvirales,Genomoviridae,CENOTE_11_20_META22428
CENOTE_11_20_META23945_fullg,Genome,Viruses,Monodnaviria,Shotokuvirae,Cressdnaviricota,,,,CENOTE_11_20_META23945
CENOTE_11_20_META24493_fullg,Genome,Viruses,Monodnaviria,Shotokuvirae,Cressdnaviricota,Repensiviricetes,Geplafuvirales,Genomoviridae,CENOTE_11_20_META24493
CENOTE_11_20_META25496_fullg,Genome,Viruses,Monodnaviria,Shotokuvirae,Cressdnaviricota,Repensiviricetes,Geplafuvirales,Genomoviridae,CENOTE_11_20_META25496
CENOTE_11_20_META26055_fullg,Genome,Viruses,Monodnaviria,Shotokuvirae,Cressdnaviricota,Repensiviricetes,Geplafuvirales,Genomoviridae,CENOTE_11_20_META26055
CENOTE_11_20_META26511_fullg,Genome,Viruses,Monodnaviria,Shotokuvirae,Cressdnaviricota,,,,CENOTE_11_20_META26511
CENOTE_11_20_META26814_fullg,Genome,Viruses,Monodnaviria,Shotokuvirae,Cressdnaviricota,Repensiviricetes,Geplafuvirales,Genomoviridae,CENOTE_11_20_META26814
CENOTE_11_20_META26856_fullg,Genome,Viruses,Monodnaviria,Shotokuvirae,Cressdnaviricota,,,,CENOTE_11_20_META26856
CENOTE_11_20_META26888_fullg,Genome,Viruses,Monodnaviria,Shotokuvirae,Cressdnaviricota,Repensiviricetes,Geplafuvirales,Genomoviridae,CENOTE_11_20_META26888
CENOTE_11_20_META27051_fullg,Genome,Viruses,Monodnaviria,Shotokuvirae,Cressdnaviricota,Repensiviricetes,Geplafuvirales,Genomoviridae,CENOTE_11_20_META27051
CENOTE_11_20_META29489_fullg,Genome,Viruses,Monodnaviria,Shotokuvirae,Cressdnaviricota,,,,CENOTE_11_20_META29489
CENOTE_11_20_META29508_fullg,Genome,Viruses,Monodnaviria,Shotokuvirae,Cressdnaviricota,Arfiviricetes,Cremevirales,Smacoviridae,CENOTE_11_20_META29508
CENOTE_11_20_META29537_fullg,Genome,Viruses,Monodnaviria,Shotokuvirae,Cressdnaviricota,Unclassified family 3,Unclassified family 3,Unclassified family 3,CENOTE_11_20_META29537
CENOTE_11_20_META29589_fullg,Genome,Viruses,Monodnaviria,Shotokuvirae,Cressdnaviricota,Unclassified family 3,Unclassified family 3,Unclassified family 3,CENOTE_11_20_META29589
CENOTE_11_20_META29611_fullg,Genome,Viruses,Monodnaviria,Shotokuvirae,Cressdnaviricota,,,,CENOTE_11_20_META29611
CENOTE_11_20_META29639_fullg,Genome,Viruses,Monodnaviria,Shotokuvirae,Cressdnaviricota,,,,CENOTE_11_20_META29639
CENOTE_11_20_META29645_fullg,Genome,Viruses,Monodnaviria,Shotokuvirae,Cressdnaviricota,Unclassified family 3,Unclassified family 3,Unclassified family 3,CENOTE_11_20_META29645
CENOTE_11_20_META29702_fullg,Genome,Viruses,Monodnaviria,Shotokuvirae,Cressdnaviricota,,,,CENOTE_11_20_META29702
CENOTE_11_20_META29722_fullg,Genome,Viruses,Monodnaviria,Shotokuvirae,Cressdnaviricota,,,,CENOTE_11_20_META29722
CENOTE_11_20_META29752_fullg,Genome,Viruses,Monodnaviria,Shotokuvirae,Cressdnaviricota,,,,CENOTE_11_20_META29752
CENOTE_11_20_META29758_fullg,Genome,Viruses,Monodnaviria,Shotokuvirae,Cressdnaviricota,Unclassified family 4,Unclassified family 4,Unclassified family 4,CENOTE_11_20_META29758
CENOTE_11_20_META29788_fullg,Genome,Viruses,Monodnaviria,Shotokuvirae,Cressdnaviricota,Repensiviricetes,Geplafuvirales,Genomoviridae,CENOTE_11_20_META29788
CENOTE_11_20_META29841_fullg,Genome,Viruses,Monodnaviria,Shotokuvirae,Cressdnaviricota,Unclassified family 2,Unclassified family 2,Unclassified family 2,CENOTE_11_20_META29841
CENOTE_11_20_META29876_fullg,Genome,Viruses,Monodnaviria,Shotokuvirae,Cressdnaviricota,Unclassified family 4,Unclassified family 4,Unclassified family 4,CENOTE_11_20_META29876
CENOTE_11_20_META29900_fullg,Genome,Viruses,Monodnaviria,Shotokuvirae,Cressdnaviricota,Unclassified family 2,Unclassified family 2,Unclassified family 2,CENOTE_11_20_META29900
CENOTE_11_20_META29901_fullg,Genome,Viruses,Monodnaviria,Shotokuvirae,Cressdnaviricota,Unclassified family 3,Unclassified family 3,Unclassified family 3,CENOTE_11_20_META29901
CENOTE_11_20_META29928_fullg,Genome,Viruses,Monodnaviria,Shotokuvirae,Cressdnaviricota,,,,CENOTE_11_20_META29928
CENOTE_11_20_META29942_fullg,Genome,Viruses,Monodnaviria,Shotokuvirae,Cressdnaviricota,,,,CENOTE_11_20_META29942
CENOTE_11_20_META29985_fullg,Genome,Viruses,Monodnaviria,Shotokuvirae,Cressdnaviricota,Repensiviricetes,Geplafuvirales,Genomoviridae,CENOTE_11_20_META29985
